Trial,Species,Dosage Level,Tank,Standard length,Weight
Outdoor,BLG,0 mg/kg/d,3,61.2,13.9
Outdoor,BLG,0 mg/kg/d,3,97,27.4
Outdoor,BLG,0 mg/kg/d,3,118,99.6
Outdoor,BLG,0 mg/kg/d,3,88,37.5
Outdoor,BLG,0 mg/kg/d,3,71,18.4
Outdoor,BLG,0 mg/kg/d,3,86,37.7
Outdoor,BLG,0 mg/kg/d,3,80,24.8
Outdoor,BLG,0 mg/kg/d,3,89,35.5
Outdoor,BLG,0 mg/kg/d,3,105,55.2
Outdoor,BLG,0 mg/kg/d,3,87,35.1
Outdoor,BLG,0 mg/kg/d,3,75,21.4
Outdoor,BLG,0 mg/kg/d,3,79,23
Outdoor,BLG,0 mg/kg/d,3,66,13.1
Outdoor,BLG,0 mg/kg/d,3,70,16.1
Outdoor,BLG,0 mg/kg/d,3,81,23.3
Outdoor,BLG,0 mg/kg/d,3,71,17.1
Outdoor,BLG,0 mg/kg/d,3,75,19.4
Outdoor,BLG,0 mg/kg/d,3,72,17.6
Outdoor,BLG,0 mg/kg/d,3,94,45.5
Outdoor,CCP,0 mg/kg/d,3,429.3,2475.5
Outdoor,CCP,0 mg/kg/d,3,388.6,1909.7
Outdoor,CCP,0 mg/kg/d,3,269,710.9
Outdoor,CCP,0 mg/kg/d,3,270,762.3
Outdoor,CCP,0 mg/kg/d,3,305,922.9
Outdoor,CCP,0 mg/kg/d,3,281,738.4
Outdoor,CCP,0 mg/kg/d,3,319,1095.1
Outdoor,CCP,0 mg/kg/d,3,329,1091.5
Outdoor,CCP,0 mg/kg/d,3,419.1,2253.7
Outdoor,CCP,0 mg/kg/d,3,316,961.3
Outdoor,CCP,0 mg/kg/d,3,110,54
Outdoor,CCP,0 mg/kg/d,3,131,82.3
Outdoor,CCP,0 mg/kg/d,3,105,50
Outdoor,CCP,0 mg/kg/d,3,109,52.4
Outdoor,CCP,0 mg/kg/d,3,104,49.4
Outdoor,CCP,0 mg/kg/d,3,122,83.5
Outdoor,CCP,0 mg/kg/d,3,110,48.8
Outdoor,CCP,0 mg/kg/d,3,108,54.4
Outdoor,CCP,0 mg/kg/d,3,110,55.6
Outdoor,YEP,0 mg/kg/d,3,89,21.3
Outdoor,YEP,0 mg/kg/d,3,109,26.2
Outdoor,YEP,0 mg/kg/d,3,89,19.2
Outdoor,YEP,0 mg/kg/d,3,95,19.6
Outdoor,YEP,0 mg/kg/d,3,79,11.3
Outdoor,YEP,0 mg/kg/d,3,91,16.5
Outdoor,YEP,0 mg/kg/d,3,81,12.4
Outdoor,YEP,0 mg/kg/d,3,66,6.8
Outdoor,YEP,0 mg/kg/d,3,93,17.1
Outdoor,YEP,0 mg/kg/d,3,68,8.2
Outdoor,YEP,0 mg/kg/d,3,70,8.5
Outdoor,YEP,0 mg/kg/d,3,76,9.2
Outdoor,YEP,0 mg/kg/d,3,46,4.4
Outdoor,YEP,0 mg/kg/d,3,76,8.9
Outdoor,YEP,0 mg/kg/d,3,86,13.8
Outdoor,YEP,0 mg/kg/d,3,70,8.4
Outdoor,YEP,0 mg/kg/d,3,71,7.3
Outdoor,YEP,0 mg/kg/d,3,85,13.5
Outdoor,YEP,0 mg/kg/d,3,71,8
Outdoor,YEP,0 mg/kg/d,3,80,13.3
Gavage,CAP,0.026 g,6,109,62.44
Gavage,CAP,0.026 g,6,119,64.47
Gavage,CAP,0.026 g,6,107,51.85
Gavage,CAP,0.026 g,6,114,56.01
